nome;valor_venda;quantidade;id_categoria;id_tipo_camisa;id_cor;id_tamanho
camisa1;46.39;18;16;2;4;5
camisa2;49.73;30;9;5;1;2
camisa3;38.4;44;18;2;5;4
camisa4;35.98;5;16;5;5;1
camisa5;37.94;48;18;2;4;3
camisa6;42.87;27;9;4;5;5
camisa7;22.36;15;1;1;5;2
camisa8;21.63;7;7;4;4;4
camisa9;32.52;22;12;3;5;1
camisa10;41.22;24;15;5;3;2
camisa11;22.11;48;16;4;3;3
camisa12;20.11;44;14;1;3;1
camisa13;37.68;10;10;1;5;5
camisa14;20.37;6;6;3;2;1
camisa15;30.52;40;6;1;2;5
camisa16;46.3;49;1;5;5;2
camisa17;27.18;43;2;4;2;3
camisa18;43.73;12;19;5;1;4
camisa19;38.49;15;16;5;2;2
camisa20;38.49;36;18;2;1;4
camisa21;29.48;50;3;3;1;4
camisa22;36.59;50;20;4;3;5
camisa23;30.05;47;8;3;5;5
camisa24;40.59;50;1;4;1;4
camisa25;37.13;41;5;3;4;1
camisa26;35.23;38;17;1;4;4
camisa27;22.3;6;19;5;2;5
camisa28;46.72;38;1;5;4;1
camisa29;22.34;50;16;2;1;2
camisa30;28.46;2;20;2;2;1
camisa31;23.05;18;13;4;5;5
camisa32;42.7;36;17;4;5;4
camisa33;39.71;7;9;2;2;4
camisa34;34.14;25;4;1;5;4
camisa35;33.79;22;14;4;3;5
camisa36;47.65;25;12;5;1;1
camisa37;44.07;2;1;5;4;2
camisa38;48.23;37;2;4;1;3
camisa39;32.42;45;8;5;2;5
camisa40;24.93;38;7;1;1;3
camisa41;48.85;2;16;5;3;4
camisa42;49.95;7;1;3;2;4
camisa43;37.0;3;7;4;5;3
camisa44;31.21;38;18;1;3;5
camisa45;26.59;50;18;2;3;5
camisa46;27.83;38;10;5;2;1
camisa47;36.0;13;13;2;4;5
camisa48;46.31;40;3;4;4;1
camisa49;41.74;9;14;3;3;2
camisa50;23.66;45;11;4;3;1
camisa51;46.84;40;15;4;5;1
camisa52;28.82;41;20;2;5;3
camisa53;43.2;33;10;5;1;3
camisa54;22.5;11;19;2;2;5
camisa55;43.88;13;19;4;4;5
camisa56;42.64;13;5;2;2;1
camisa57;39.21;18;5;4;1;3
camisa58;25.55;33;13;5;1;4
camisa59;31.19;49;14;1;5;2
camisa60;37.23;38;4;1;3;2
camisa61;23.03;24;2;3;5;1
camisa62;33.28;3;5;3;4;4
camisa63;41.55;43;13;1;5;2
camisa64;40.86;23;20;5;3;3
camisa65;34.82;1;13;4;5;1
camisa66;33.04;3;8;4;5;1
camisa67;26.91;10;7;2;5;3
camisa68;23.28;11;19;1;5;3
camisa69;45.6;21;19;1;4;3
camisa70;36.18;36;9;2;3;1
camisa71;34.88;39;15;1;3;3
camisa72;21.15;30;18;3;1;3
camisa73;27.71;10;17;3;5;2
camisa74;37.53;17;5;2;5;4
camisa75;35.11;46;16;4;3;2
camisa76;24.28;50;5;3;4;2
camisa77;23.83;23;6;4;4;4
camisa78;24.56;27;18;4;4;4
camisa79;49.57;13;20;1;3;2
camisa80;40.92;46;3;4;1;2
camisa81;34.79;49;14;1;1;2
camisa82;27.95;9;2;3;3;1
camisa83;27.89;17;6;1;1;1
camisa84;31.4;36;20;1;2;3
camisa85;26.95;27;14;4;5;5
camisa86;33.98;47;10;4;1;4
camisa87;21.11;29;8;2;1;4
camisa88;49.62;1;17;3;3;4
camisa89;32.51;37;5;4;2;3
camisa90;40.7;34;2;5;1;3
camisa91;30.36;36;4;5;3;1
camisa92;38.02;29;10;4;2;4
camisa93;48.67;35;18;5;2;1
camisa94;47.98;8;13;4;4;4
camisa95;25.74;22;1;4;3;4
camisa96;46.55;13;11;1;1;1
camisa97;46.47;10;12;5;2;5
camisa98;22.84;24;11;1;1;3
camisa99;39.95;36;6;3;2;5
camisa100;22.97;48;20;1;2;1
camisa101;26.28;10;16;4;4;3
camisa102;41.34;21;16;1;1;3
camisa103;37.68;50;17;4;5;2
camisa104;31.8;2;16;5;5;1
camisa105;36.0;5;10;5;1;4
camisa106;49.74;29;4;4;2;3
camisa107;35.63;45;17;2;4;3
camisa108;27.53;18;5;3;1;5
camisa109;45.99;16;4;5;2;2
camisa110;22.06;39;10;5;3;3
camisa111;45.32;45;6;3;4;3
camisa112;33.52;5;20;2;5;5
camisa113;43.14;50;10;4;1;5
camisa114;27.51;1;10;2;1;4
camisa115;47.21;24;12;1;5;5
camisa116;22.91;50;20;5;5;4
camisa117;37.85;13;13;3;4;1
camisa118;31.42;32;14;4;2;3
camisa119;33.33;18;8;5;5;5
camisa120;31.02;12;12;3;2;1
camisa121;31.24;11;6;5;2;1
camisa122;40.86;48;11;1;3;2
camisa123;20.58;41;8;3;2;3
camisa124;22.82;16;15;1;3;1
camisa125;43.83;37;13;4;4;3
camisa126;41.94;40;12;3;1;2
camisa127;49.04;41;17;5;5;5
camisa128;49.85;49;5;4;1;1
camisa129;25.66;4;1;4;3;2
camisa130;48.36;24;18;3;2;1
camisa131;44.93;42;11;3;1;3
camisa132;27.06;22;16;2;2;2
camisa133;28.67;26;18;3;4;3
camisa134;33.93;46;6;1;5;1
camisa135;42.56;7;4;4;3;3
camisa136;27.07;26;5;5;1;4
camisa137;41.7;40;11;2;5;3
camisa138;22.22;48;8;3;5;3
camisa139;26.77;36;16;1;1;3
camisa140;47.1;30;9;1;5;2
camisa141;45.47;39;5;2;1;5
camisa142;30.12;40;5;3;1;5
camisa143;32.41;25;18;3;3;4
camisa144;20.57;13;13;4;5;1
camisa145;33.05;16;15;1;2;3
camisa146;22.34;42;6;4;1;5
camisa147;21.62;25;1;5;4;4
camisa148;39.72;5;8;3;5;1
camisa149;28.33;46;10;2;2;5
camisa150;45.38;49;18;4;5;4
camisa151;37.45;45;17;1;1;2
camisa152;47.03;10;18;3;4;1
camisa153;35.75;22;10;2;4;2
camisa154;32.42;29;10;2;1;3
camisa155;35.1;45;3;1;1;2
camisa156;47.67;19;14;4;3;5
camisa157;23.77;2;10;5;2;4
camisa158;32.11;9;14;5;1;3
camisa159;23.87;3;18;1;3;4
camisa160;33.43;10;5;3;5;2
camisa161;42.13;10;6;5;3;5
camisa162;49.09;45;2;2;1;5
camisa163;25.79;36;7;5;2;4
camisa164;28.75;31;15;3;1;2
camisa165;46.3;36;11;1;4;3
camisa166;39.18;26;4;3;2;2
camisa167;38.99;44;4;3;2;4
camisa168;48.11;8;5;2;2;5
camisa169;49.32;28;14;1;1;5
camisa170;38.21;40;15;1;3;5
camisa171;33.75;5;7;2;1;3
camisa172;26.06;2;15;5;3;4
camisa173;42.39;10;6;5;5;2
camisa174;27.35;43;17;3;3;2
camisa175;49.07;43;4;3;1;2
camisa176;21.19;3;6;5;3;1
camisa177;39.31;10;18;5;2;1
camisa178;27.81;32;12;3;1;2
camisa179;43.95;5;15;2;1;2
camisa180;38.2;48;14;3;4;2
camisa181;48.03;35;6;2;3;2
camisa182;21.62;45;8;5;3;1
camisa183;28.63;21;18;1;5;1
camisa184;33.7;2;4;1;4;4
camisa185;37.62;7;11;4;2;5
camisa186;33.48;42;19;2;3;5
camisa187;25.85;44;20;5;3;4
camisa188;48.8;30;18;1;4;1
camisa189;41.55;34;2;1;4;3
camisa190;46.23;16;14;4;2;4
camisa191;30.53;5;13;1;2;1
camisa192;49.44;5;1;5;3;5
camisa193;48.13;45;20;2;5;3
camisa194;48.57;5;4;2;1;3
camisa195;20.44;1;6;5;2;2
camisa196;39.42;15;14;1;3;4
camisa197;32.34;43;4;3;2;1
camisa198;46.14;5;9;1;3;2
camisa199;31.89;7;4;1;3;1
camisa200;22.04;8;3;5;5;1
camisa201;30.66;12;3;5;2;2
camisa202;48.36;2;3;3;1;3
camisa203;22.57;49;19;2;1;2
camisa204;39.34;49;20;2;2;1
camisa205;30.66;31;20;2;3;5
camisa206;49.5;11;2;3;2;3
camisa207;26.56;30;10;1;2;4
camisa208;37.07;40;13;1;2;3
camisa209;43.09;23;15;5;3;5
camisa210;27.7;25;10;2;4;5
camisa211;31.69;41;20;2;5;1
camisa212;39.7;12;7;2;1;1
camisa213;32.15;43;11;3;2;3
camisa214;43.99;30;15;3;3;5
camisa215;29.62;50;9;4;5;4
camisa216;36.2;32;1;2;1;2
camisa217;39.84;14;18;3;1;5
camisa218;25.69;14;7;3;2;5
camisa219;25.43;13;16;5;5;2
camisa220;40.78;25;8;1;3;3
camisa221;22.66;31;2;3;2;2
camisa222;37.14;33;5;3;2;4
camisa223;47.16;46;16;2;1;5
camisa224;27.7;5;8;3;4;1
camisa225;49.28;6;3;5;1;3
camisa226;24.2;40;19;3;3;4
camisa227;45.68;14;2;2;2;5
camisa228;45.61;26;12;3;2;2
camisa229;49.74;26;3;5;1;4
camisa230;30.95;16;2;2;1;2
camisa231;26.21;19;19;1;1;4
camisa232;49.27;49;2;1;1;2
camisa233;44.02;37;13;5;1;5
camisa234;41.93;49;7;5;2;5
camisa235;43.99;47;13;2;5;2
camisa236;23.4;7;9;4;4;4
camisa237;22.77;33;15;2;4;2
camisa238;24.93;17;1;3;1;1
camisa239;37.11;10;6;5;2;3
camisa240;37.54;30;12;2;5;1
camisa241;42.73;4;1;5;1;3
camisa242;20.22;32;18;3;3;2
camisa243;44.48;24;6;1;2;2
camisa244;48.35;21;12;4;4;4
camisa245;33.27;35;19;2;4;2
camisa246;37.3;42;14;3;4;4
camisa247;35.2;5;12;3;4;3
camisa248;23.63;31;19;1;2;2
camisa249;33.62;35;7;5;3;3
camisa250;26.08;22;20;2;1;2
camisa251;20.44;40;11;2;1;2
camisa252;47.15;35;16;2;1;3
camisa253;29.86;15;7;1;1;4
camisa254;30.11;46;6;3;1;1
camisa255;49.15;1;13;3;1;5
camisa256;20.92;18;14;4;3;4
camisa257;44.95;4;1;5;4;4
camisa258;39.13;29;11;1;1;5
camisa259;47.07;23;1;3;5;3
camisa260;47.92;2;14;3;3;3
camisa261;22.3;34;11;3;5;1
camisa262;49.35;37;10;5;5;2
camisa263;21.42;8;13;5;5;1
camisa264;30.01;20;10;3;1;2
camisa265;40.23;46;16;3;2;1
camisa266;37.55;44;1;4;3;3
camisa267;49.48;19;18;1;5;4
camisa268;49.52;12;11;1;3;1
