nome;valor_venda;quantidade;id_categoria;descricao
produto_cantina1;47.3;6;9;descricao1
produto_cantina2;15.65;39;20;descricao2
produto_cantina3;36.96;8;8;descricao3
produto_cantina4;25.24;5;17;descricao4
produto_cantina5;44.81;2;17;descricao5
produto_cantina6;10.53;6;2;descricao6
produto_cantina7;27.28;9;10;descricao7
produto_cantina8;46.74;9;5;descricao8
produto_cantina9;34.85;50;7;descricao9
produto_cantina10;18.16;47;10;descricao10
produto_cantina11;31.14;15;12;descricao11
produto_cantina12;32.32;40;9;descricao12
produto_cantina13;40.14;5;11;descricao13
produto_cantina14;22.39;49;20;descricao14
produto_cantina15;49.37;14;8;descricao15
produto_cantina16;10.76;38;6;descricao16
produto_cantina17;7.55;28;13;descricao17
produto_cantina18;29.05;6;17;descricao18
produto_cantina19;3.05;37;3;descricao19
produto_cantina20;4.48;38;9;descricao20
produto_cantina21;33.59;15;1;descricao21
produto_cantina22;45.22;41;5;descricao22
produto_cantina23;36.11;12;4;descricao23
produto_cantina24;20.55;12;5;descricao24
produto_cantina25;35.69;43;3;descricao25
produto_cantina26;13.09;5;16;descricao26
produto_cantina27;30.51;50;2;descricao27
produto_cantina28;24.37;38;3;descricao28
produto_cantina29;36.24;8;15;descricao29
produto_cantina30;39.1;13;11;descricao30
produto_cantina31;43.97;37;9;descricao31
produto_cantina32;47.81;2;8;descricao32
produto_cantina33;29.62;10;7;descricao33
produto_cantina34;4.26;19;1;descricao34
produto_cantina35;10.62;27;18;descricao35
produto_cantina36;18.14;35;1;descricao36
produto_cantina37;46.45;43;8;descricao37
produto_cantina38;48.0;31;13;descricao38
produto_cantina39;27.63;13;14;descricao39
produto_cantina40;9.52;49;3;descricao40
produto_cantina41;3.6;47;9;descricao41
produto_cantina42;5.9;41;7;descricao42
produto_cantina43;40.64;31;6;descricao43
produto_cantina44;39.59;9;9;descricao44
produto_cantina45;28.13;45;6;descricao45
produto_cantina46;22.94;14;5;descricao46
produto_cantina47;34.75;10;13;descricao47
produto_cantina48;38.07;37;14;descricao48
produto_cantina49;8.07;6;6;descricao49
produto_cantina50;33.0;38;5;descricao50
produto_cantina51;12.75;42;11;descricao51
produto_cantina52;44.48;31;6;descricao52
produto_cantina53;35.74;40;17;descricao53
produto_cantina54;3.84;38;20;descricao54
produto_cantina55;30.27;39;5;descricao55
produto_cantina56;4.85;47;6;descricao56
produto_cantina57;33.88;50;3;descricao57
produto_cantina58;46.07;32;17;descricao58
produto_cantina59;6.14;41;9;descricao59
produto_cantina60;26.15;25;17;descricao60
produto_cantina61;42.15;49;1;descricao61
produto_cantina62;23.46;15;5;descricao62
produto_cantina63;12.9;32;15;descricao63
produto_cantina64;17.04;34;3;descricao64
produto_cantina65;24.97;33;14;descricao65
produto_cantina66;21.77;17;15;descricao66
produto_cantina67;46.83;3;11;descricao67
produto_cantina68;11.42;16;16;descricao68
produto_cantina69;8.87;13;10;descricao69
produto_cantina70;29.9;49;16;descricao70
produto_cantina71;30.68;39;10;descricao71
produto_cantina72;23.45;22;11;descricao72
produto_cantina73;32.27;45;14;descricao73
produto_cantina74;27.36;32;13;descricao74
produto_cantina75;34.42;21;13;descricao75
produto_cantina76;39.67;44;4;descricao76
produto_cantina77;4.31;30;3;descricao77
produto_cantina78;35.8;1;5;descricao78
