nome;valor_venda;quantidade;id_categoria;litragem;altura;id_tipo_prancha
prancha1;95.88;32;11;2.27;3.08;2
prancha2;4351.58;19;14;8.34;6.48;7
prancha3;1956.89;16;2;7.66;4.98;5
prancha4;2574.53;35;18;5.86;6.66;1
prancha5;1291.07;33;17;6.37;9.57;4
prancha6;994.31;8;9;3.35;5.85;4
prancha7;4273.04;13;19;9.44;8.98;2
prancha8;1950.0;45;16;8.14;6.81;7
prancha9;839.22;32;1;4.31;1.24;1
prancha10;2418.02;29;4;3.54;5.67;3
prancha11;1291.09;36;11;6.07;8.09;3
prancha12;1394.41;3;15;8.45;7.62;3
prancha13;2049.66;35;4;9.55;5.94;5
prancha14;4674.51;7;9;6.24;8.3;5
prancha15;2117.99;38;9;9.02;7.56;7
prancha16;2207.82;46;13;2.31;2.28;4
prancha17;576.89;17;1;8.97;5.39;7
prancha18;1795.3;44;15;6.12;2.2;5
prancha19;2293.91;20;8;4.84;4.3;7
prancha20;3170.49;3;11;8.34;8.64;5
prancha21;2257.21;39;11;6.46;1.37;2
prancha22;619.05;7;7;4.67;6.28;4
prancha23;1052.46;5;20;6.17;8.27;4
prancha24;1731.97;12;8;6.06;9.73;5
prancha25;4083.91;3;12;6.87;5.65;3
prancha26;2543.23;31;1;5.1;7.49;4
prancha27;3115.57;27;1;9.23;9.35;5
prancha28;2053.28;3;10;8.2;2.42;4
prancha29;2443.34;19;5;1.12;4.94;3
prancha30;3422.38;31;7;4.69;1.24;7
prancha31;287.16;32;18;1.85;2.54;2
prancha32;341.63;30;11;2.75;5.26;3
prancha33;3275.48;11;20;3.84;5.74;5
prancha34;4761.6;29;17;7.68;3.48;4
prancha35;65.31;44;3;1.33;9.99;7
prancha36;3052.8;9;13;4.65;5.44;6
prancha37;4749.75;2;2;8.82;2.35;7
prancha38;2776.03;5;13;6.23;3.74;5
prancha39;1630.69;46;11;1.94;6.61;3
prancha40;129.61;20;13;3.11;6.12;1
prancha41;2182.6;17;17;6.71;6.65;5
prancha42;2108.9;9;8;2.01;3.27;3
prancha43;4726.15;39;5;8.08;8.91;2
prancha44;3507.01;1;14;6.78;4.04;2
prancha45;2313.85;8;16;2.94;2.61;6
prancha46;268.1;21;14;2.5;6.43;5
prancha47;1953.74;12;12;3.12;8.66;6
prancha48;3397.12;39;3;2.22;5.17;7
prancha49;4259.81;8;5;1.07;5.7;1
prancha50;4012.12;8;4;5.01;2.75;2
prancha51;4329.29;31;18;6.16;2.89;4
prancha52;4894.81;50;20;3.07;3.04;2
prancha53;4329.52;7;6;4.49;5.36;5
prancha54;3760.93;9;14;1.8;3.94;7
