nome;valor_venda;quantidade;id_categoria
produto1;2382.95;7;3
produto2;2674.8;15;15
produto3;1664.13;43;3
produto4;716.42;34;9
produto5;3327.86;36;14
produto6;3953.76;39;15
produto7;3079.59;16;18
produto8;3891.36;29;18
produto9;185.32;1;7
produto10;980.18;12;9
produto11;3351.53;13;5
produto12;2944.11;44;3
produto13;1774.17;45;18
produto14;2688.58;9;4
produto15;1553.37;32;20
produto16;4327.44;3;14
produto17;2513.01;4;16
produto18;340.25;24;10
produto19;4285.73;10;9
produto20;2990.55;34;3
produto21;2238.65;5;17
produto22;258.8;43;5
produto23;1873.54;5;8
produto24;2958.02;1;7
produto25;2549.37;33;7
produto26;4633.73;48;10
produto27;1816.24;22;9
produto28;1560.81;23;7
produto29;3786.09;36;11
produto30;910.3;49;6
produto31;1784.76;28;13
produto32;2365.78;49;3
produto33;4151.28;19;11
produto34;3690.62;25;3
produto35;379.53;15;4
produto36;2757.82;7;4
produto37;1933.94;29;6
produto38;1816.75;24;1
produto39;3111.71;48;3
produto40;3315.22;42;3
produto41;3799.73;19;7
produto42;2849.49;37;18
produto43;4008.96;4;8
produto44;1834.83;46;11
produto45;2393.32;37;11
produto46;735.78;31;4
produto47;357.93;18;6
produto48;4576.6;10;11
produto49;191.18;28;17
produto50;1110.35;3;17
produto51;3067.89;42;20
produto52;1514.91;50;19
produto53;2008.43;23;12
produto54;3522.5;45;3
produto55;2196.29;10;13
produto56;4278.67;34;18
produto57;1776.79;33;13
produto58;2643.52;50;6
produto59;924.8;12;7
produto60;966.47;46;7
produto61;1799.2;29;6
produto62;3657.12;3;7
produto63;2178.11;30;15
produto64;828.34;18;11
produto65;1776.38;10;4
produto66;2174.56;30;7
produto67;2752.5;46;14
produto68;645.44;6;14
produto69;1891.22;42;10
produto70;550.83;22;7
produto71;3709.62;5;10
produto72;1860.56;46;4
produto73;64.33;1;10
produto74;4773.72;21;4
produto75;502.52;48;12
produto76;4422.53;12;17
produto77;2907.37;38;1
produto78;379.15;4;9
produto79;1589.77;9;9
produto80;4208.83;23;18
produto81;3819.1;37;19
produto82;3477.7;46;11
produto83;2273.74;20;6
produto84;1439.16;6;16
produto85;4247.67;12;15
produto86;4734.42;5;16
produto87;2036.5;26;18
produto88;2720.54;11;9
produto89;1796.69;17;20
produto90;2471.98;27;8
produto91;1775.54;19;20
produto92;3767.99;1;16
produto93;228.06;28;1
produto94;754.66;16;5
produto95;4783.52;33;14
produto96;3625.43;38;13
produto97;2157.54;42;1
produto98;3565.77;50;10
produto99;4655.89;40;2
produto100;2818.48;18;19
produto101;1085.86;6;18
produto102;4740.6;5;1
produto103;3189.62;45;7
produto104;4961.94;30;10
produto105;4629.48;4;1
produto106;890.92;1;12
produto107;1358.45;39;8
produto108;763.03;49;20
produto109;3761.55;45;20
produto110;4398.41;13;13
produto111;2056.73;14;2
produto112;1578.04;10;12
produto113;366.38;48;11
produto114;53.46;41;19
produto115;2000.6;6;9
produto116;2038.12;36;7
produto117;4633.91;27;16
produto118;1870.23;26;12
produto119;4334.97;16;14
produto120;2663.41;32;12
produto121;2298.84;41;1
produto122;409.17;11;11
produto123;4762.1;21;15
produto124;2654.84;33;4
produto125;2273.03;19;11
produto126;2635.69;22;11
produto127;1521.91;6;8
produto128;573.27;47;14
produto129;3938.39;21;11
produto130;3025.05;30;12
produto131;1197.43;38;17
produto132;96.79;28;17
produto133;1192.19;38;16
produto134;1714.1;27;19
produto135;534.59;40;16
produto136;795.48;10;3
produto137;4236.22;48;11
produto138;2821.73;11;17
produto139;1420.51;7;16
produto140;2355.17;39;6
produto141;2281.1;8;20
produto142;1312.18;24;16
produto143;2392.09;14;10
produto144;4004.09;29;8
produto145;1559.55;18;12
produto146;2893.63;31;15
produto147;2544.12;42;18
produto148;2008.49;42;13
produto149;411.31;46;15
produto150;3833.93;27;5
produto151;1321.59;7;5
produto152;1110.22;20;2
produto153;3150.02;49;7
produto154;1137.16;44;20
produto155;4841.06;23;13
produto156;401.64;13;12
produto157;3073.48;30;17
produto158;670.4;33;6
produto159;2337.12;7;9
produto160;2533.98;44;3
produto161;2115.94;2;18
produto162;1123.61;35;7
produto163;2069.98;9;19
produto164;4175.56;42;16
produto165;3566.14;33;14
produto166;86.49;33;13
produto167;1773.41;41;3
produto168;1095.0;38;3
produto169;3514.9;8;19
produto170;730.74;17;14
produto171;765.95;46;13
produto172;1431.81;16;15
produto173;3413.33;9;14
produto174;870.87;41;4
produto175;702.14;31;16
produto176;1731.61;23;5
produto177;3222.3;27;4
produto178;4928.25;30;15
produto179;4992.31;44;8
produto180;1543.87;21;20
produto181;1592.05;21;17
produto182;4706.38;20;7
produto183;2611.68;15;14
produto184;860.29;29;4
produto185;98.63;49;18
produto186;4496.95;31;10
produto187;827.41;14;4
produto188;3591.7;25;3
produto189;2034.42;38;20
produto190;2117.26;13;15
produto191;3096.69;15;1
produto192;694.52;34;3
produto193;2089.61;39;3
produto194;2292.73;38;17
produto195;4365.09;47;14
produto196;2525.08;12;12
produto197;2230.11;30;7
produto198;3087.52;18;1
produto199;2660.5;43;6
produto200;1398.57;49;18
produto201;683.28;4;5
produto202;262.2;10;4
produto203;2880.52;36;19
produto204;2888.58;1;15
produto205;3028.9;26;20
produto206;3380.39;25;7
produto207;224.19;25;19
produto208;1148.18;16;12
produto209;1081.11;40;16
produto210;1810.66;1;5
produto211;1267.08;22;9
produto212;4416.12;34;9
produto213;4610.98;32;19
produto214;4622.37;7;15
produto215;398.78;33;11
produto216;3660.62;33;6
produto217;3431.31;26;20
produto218;2839.35;13;10
produto219;2619.17;48;2
produto220;1480.69;37;3
produto221;2451.65;43;1
produto222;4489.12;41;3
produto223;4377.42;46;13
produto224;3162.69;15;1
produto225;4162.96;43;15
produto226;4504.21;21;7
produto227;314.95;41;8
produto228;1905.12;49;2
produto229;119.8;24;18
produto230;706.98;38;1
produto231;2847.36;36;6
produto232;4878.16;48;10
produto233;1808.89;28;3
produto234;4920.26;42;18
produto235;4760.04;38;1
produto236;518.84;32;5
produto237;853.61;30;12
produto238;4362.56;38;12
produto239;2774.28;17;11
produto240;794.13;48;3
produto241;4837.54;25;14
produto242;160.47;14;13
produto243;4706.11;13;5
produto244;3548.39;26;19
produto245;3494.71;25;9
produto246;4155.48;21;8
produto247;1932.19;20;13
produto248;2527.75;4;18
produto249;796.84;39;10
produto250;4624.3;43;5
produto251;4549.27;41;10
produto252;2522.92;39;5
produto253;3023.11;14;4
produto254;905.27;50;9
produto255;1713.06;15;2
produto256;3506.98;19;16
produto257;4716.74;21;2
produto258;2021.55;10;4
produto259;897.09;49;18
produto260;4074.0;25;18
produto261;1796.73;45;8
produto262;916.09;34;1
produto263;2791.98;27;2
produto264;535.39;29;6
produto265;908.61;7;7
produto266;1118.1;1;11
produto267;4593.24;41;16
produto268;4044.54;26;20
produto269;4407.29;44;9
produto270;1322.05;45;6
produto271;2763.34;18;17
produto272;2585.84;6;1
produto273;3260.49;24;18
produto274;630.28;30;18
produto275;351.89;24;20
produto276;1463.09;11;12
produto277;20.88;8;1
produto278;114.96;10;8
produto279;2748.63;30;8
produto280;3325.22;31;3
produto281;3006.61;21;13
produto282;2652.64;35;4
produto283;4085.34;27;14
produto284;1511.37;32;15
produto285;1594.59;41;12
produto286;3611.93;7;2
produto287;4533.73;30;19
produto288;4368.74;23;5
produto289;1158.76;22;10
produto290;1742.94;5;16
produto291;1637.06;39;16
produto292;4830.74;4;3
produto293;537.87;21;11
produto294;1412.52;46;17
produto295;174.65;18;5
produto296;2290.86;43;5
produto297;4631.41;5;2
produto298;547.29;31;18
produto299;801.36;49;12
produto300;4732.67;26;15
produto301;4455.3;16;7
produto302;3855.27;1;19
produto303;4031.71;22;19
produto304;1530.13;48;19
produto305;812.91;18;5
produto306;3076.46;11;16
produto307;1460.73;20;18
produto308;3133.67;17;7
produto309;1879.11;38;7
produto310;2972.73;31;4
produto311;381.03;32;13
produto312;4552.87;12;1
produto313;2404.46;21;3
produto314;1697.41;29;18
produto315;4087.37;31;5
produto316;687.49;4;14
produto317;311.07;19;8
produto318;201.61;48;8
produto319;2204.17;5;7
produto320;2792.19;2;1
produto321;2979.6;38;13
produto322;107.83;11;3
produto323;147.96;9;6
produto324;3380.88;36;17
produto325;2536.51;29;3
produto326;3908.44;48;15
produto327;654.16;35;17
produto328;493.81;30;17
produto329;3747.58;14;7
produto330;381.76;37;5
produto331;1096.6;19;6
produto332;4327.9;20;9
produto333;3273.26;30;19
produto334;3477.64;12;17
produto335;663.2;43;15
produto336;1549.89;18;6
produto337;3806.58;31;19
produto338;3599.49;3;12
produto339;3627.03;18;19
produto340;2335.99;13;1
produto341;3197.13;25;19
produto342;3781.45;48;8
produto343;131.1;13;12
produto344;1547.92;13;5
produto345;1603.33;13;18
produto346;2449.96;3;3
produto347;3137.39;19;14
produto348;1095.66;6;2
produto349;3553.45;44;10
produto350;1283.32;27;5
produto351;3713.54;21;18
produto352;1239.41;47;13
produto353;2222.75;34;12
produto354;2817.47;33;18
produto355;3587.27;47;18
produto356;2258.26;15;6
produto357;2607.84;5;9
produto358;4437.82;5;6
produto359;4648.46;48;20
produto360;372.3;16;7
produto361;1109.64;5;11
produto362;1491.84;4;12
produto363;388.6;32;14
produto364;2569.77;6;6
produto365;1224.73;6;19
produto366;1942.24;50;3
produto367;1700.53;43;1
produto368;1889.04;32;2
produto369;4756.54;49;5
produto370;1052.1;16;10
produto371;1083.85;7;8
produto372;1028.91;41;6
produto373;2566.09;13;3
produto374;2747.01;25;14
produto375;2465.94;13;12
produto376;98.18;50;20
produto377;2224.71;21;16
produto378;4794.77;48;20
produto379;768.92;15;2
produto380;1361.36;12;14
produto381;1508.43;23;10
produto382;1450.75;6;1
produto383;1728.94;5;5
produto384;3701.46;49;19
produto385;991.72;17;2
produto386;794.02;45;15
produto387;339.64;49;8
produto388;3468.5;16;5
produto389;3443.15;31;4
produto390;2072.45;33;7
produto391;471.62;33;12
produto392;4531.71;31;2
produto393;4108.32;44;10
produto394;3968.01;50;19
produto395;2727.99;14;7
produto396;298.48;33;7
produto397;2709.3;6;6
produto398;4620.03;28;7
produto399;2728.16;5;6
produto400;2085.68;32;14
produto401;3774.1;46;9
produto402;3085.95;46;6
produto403;4743.19;31;18
produto404;4832.27;24;13
produto405;3079.05;45;18
produto406;4948.24;18;17
produto407;1923.51;35;19
produto408;3380.44;18;19
produto409;747.21;6;2
produto410;156.94;7;1
produto411;1803.23;46;3
produto412;3989.71;47;6
produto413;2274.95;19;15
produto414;3374.27;10;16
produto415;550.1;35;16
produto416;2802.56;41;16
produto417;1960.94;42;2
produto418;4759.93;7;20
produto419;3399.26;2;1
produto420;4553.87;5;3
produto421;3626.65;3;6
produto422;3940.15;21;8
produto423;789.69;6;14
produto424;1002.77;40;14
produto425;3277.58;9;16
produto426;28.17;44;3
produto427;2881.67;12;19
produto428;3217.35;24;15
produto429;100.03;28;2
produto430;4769.18;12;2
