quantidade;valor_venda;desconto;id_produto;id_venda
41;463.91;12.13;1;423899
97;4417.39;2.9;1;272377
50;3269.84;11.16;1;1475530
34;1379.09;10.53;1;66207
30;1583.92;10.07;1;9721
88;712.01;18.73;1;908956
29;3262.88;11.3;1;993880
86;4206.22;8.73;1;247088
90;1738.24;7.16;1;701794
94;2450.51;17.07;1;1399636
41;569.44;3.9;1;1098898
84;4482.87;14.98;1;85143
7;1106.81;1.2;1;841665
56;2073.36;7.78;1;1147084
99;2970.95;1.9;1;169686
88;2551.73;10.19;1;1488682
8;2649.62;19.28;1;1440452
37;714.62;0.95;1;547256
1;98.51;7.53;1;726931
47;2776.09;14.16;1;864262
89;180.7;5.19;1;491115
52;2643.06;4.37;1;1392809
7;3109.39;15.19;1;40965
72;3473.75;3.72;1;161468
92;369.97;3.11;1;1324883
45;967.8;9.95;1;1461750
25;252.73;1.69;1;848065
35;4222.0;5.08;1;397544
12;234.9;19.68;1;109658
56;1788.0;19.97;1;92127
20;706.81;14.67;1;197560
12;3025.93;19.01;1;342945
98;4282.83;16.96;1;710010
99;4961.05;7.91;1;1436307
1;1589.4;10.99;1;637627
73;4070.59;7.29;1;669332
24;3965.64;9.61;1;163687
48;2792.02;17.33;1;935737
27;1544.25;0.13;1;134090
47;4745.24;9.0;1;752538
54;3939.92;4.41;1;1322309
91;1331.9;11.08;1;1272791
15;2843.56;9.04;1;595845
30;3368.47;10.49;1;880101
7;2731.33;4.75;1;453632
77;1791.03;1.64;1;1065767
2;542.26;12.4;1;500666
68;4206.42;7.69;1;846338
5;3853.4;5.8;1;266081
40;4007.48;12.44;1;213233
4;1273.4;7.36;1;1262647
34;2422.23;7.8;1;19598
46;1819.54;14.97;1;573927
40;1276.46;16.97;1;1466694
81;3329.09;7.23;1;999496
25;1622.67;1.9;1;237035
40;737.17;13.4;1;1335896
9;977.79;7.16;1;478064
10;4984.39;10.65;1;251218
57;944.3;4.79;1;596649
75;4195.98;18.08;1;327184
44;819.93;19.99;1;525978
69;4224.86;15.7;1;253758
80;3770.41;9.12;1;309895
5;3182.94;9.09;1;891763
79;4369.74;3.66;1;779870
45;2775.25;0.07;1;1290695
7;2253.55;11.14;1;272050
57;954.01;9.59;1;1053626
28;3890.27;5.89;1;704448
7;1234.83;12.23;1;978243
10;2266.51;7.22;1;272666
43;1239.5;7.36;1;819932
